rawData,additive,description,abbreviation,fda_status,riskScore,riskCategory
"	""Nutrition During Pregnancy: FAQ001."" The American College of Obstetricians and Gynecologists. American College of Obstetricians and Gynecologists, June 2020. Retrieved July 1 2020. https://www.acog.org/patient-resources/faqs/pregnancy/nutrition-during-pregnancy.",Folic Acid,"his is the synthetic form of folate, which is found naturally in foods like beans, nuts, and spinach. The American College of Obstetricians and Gynecologists (ACOG) recommends that all pregnant women get 600 micrograms (mcg) of folic acid each day.",,Recommended for healthy pregnancy,-5,Health Promoting
"	""Nutrition During Pregnancy: FAQ001."" The American College of Obstetricians and Gynecologists. American College of Obstetricians and Gynecologists, June 2020. Retrieved July 1 2020. https://www.acog.org/patient-resources/faqs/pregnancy/nutrition-during-pregnancy.",Iron,"ACOG recommends that pregnant women get 27 mg of iron a day in their prenatal vitamin, to help with blood development and oxygen transport. Iron can sometimes lead to constipation, which can be treated with over-the-counter stool softeners. Women with iron-deficiency anemia may need additional iron, so talk to your health provider if you are concerned.",,Recommended for healthy pregnancy,-5,Health Promoting
"	""Nutrition During Pregnancy: FAQ001."" The American College of Obstetricians and Gynecologists. American College of Obstetricians and Gynecologists, June 2020. Retrieved July 1 2020. https://www.acog.org/patient-resources/faqs/pregnancy/nutrition-during-pregnancy.",Calcium,"The Mayo Clinic suggests that a prenatal vitamin contain at least 250 mg of calcium to help a fetus develop bones, and prevent you from developing osteoporosis. Women ages 19-50 years old should aim to consume 1000mg of calcium each day through foods like dairy, leafy green vegetables, and some fish. ",,Recommended for healthy pregnancy,-5,Health Promoting
"	""Nutrition During Pregnancy: FAQ001."" The American College of Obstetricians and Gynecologists. American College of Obstetricians and Gynecologists, June 2020. Retrieved July 1 2020. https://www.acog.org/patient-resources/faqs/pregnancy/nutrition-during-pregnancy.",Vitamin D,"ACOG recommends that pregnant women get between 200-400 IUs (international units) of Vitamin D in their prenatal, as it helps with healthy bone growth. All women should aim for at least 600 IU of vitamin D per day, and possibly more if you do not get much exposure to sunlight.",,Recommended for healthy pregnancy,-5,Health Promoting
"	""Nutrition During Pregnancy: FAQ001."" The American College of Obstetricians and Gynecologists. American College of Obstetricians and Gynecologists, June 2020. Retrieved July 1 2020. https://www.acog.org/patient-resources/faqs/pregnancy/nutrition-during-pregnancy.",Vitamin B6,The Mayo Clinic advises that a prenatal vitamin should contain at least 2 mg of Vitamin B6. Vitamin B6 is sometimes also prescribed to help combat pregnancy nausea.,,Recommended for healthy pregnancy,-5,Health Promoting
"	""Nutrition During Pregnancy: FAQ001."" The American College of Obstetricians and Gynecologists. American College of Obstetricians and Gynecologists, June 2020. Retrieved July 1 2020. https://www.acog.org/patient-resources/faqs/pregnancy/nutrition-during-pregnancy.",Vitamin C,"Though often overlooked in the pregnancy nutrient world, ACOG advises pregnant women to get at least 80 mg of Vitamin C in their prenatal vitamin to help build a developing baby's bones and muscles, and keep the mother's immune system running strong.",,Recommended for healthy pregnancy,-5,Health Promoting
"	""Nutrition During Pregnancy: FAQ001."" The American College of Obstetricians and Gynecologists. American College of Obstetricians and Gynecologists, June 2020. Retrieved July 1 2020. https://www.acog.org/patient-resources/faqs/pregnancy/nutrition-during-pregnancy.",DHA,"Although many prenatal vitamins don’t contain docosahexaenoic acid (DHA, an Omega-3 fatty acid), DHA can be incredibly important for nervous system development,",,Recommended for healthy pregnancy,-5,Health Promoting
,Whole Fruits,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Apple,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Berry,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Orange,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Mango,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Banana,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Sweet Potato,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Beetroot,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Beets,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Okra,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Spinach,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Pepper,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Jicama,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Brown Rice,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Millet,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Oatmeal,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Oats,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Bulgur,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Whole-wheat,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Chicken,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Eggs,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Seafood,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Shellfish,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Crab,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Lobster,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Clam,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Fish,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Beans,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Bean,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Lentils,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Nuts,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Seeds,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Tofu,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Milk,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Yogurt,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Cheese,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Soy Milk,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Soy Yogurt,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Vegetable oil,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Sunflower oil,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Avocado,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Walnut,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Peanut,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Hazelnut,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Almond,,,Part of a diet supporting child health,-4,Part of a healthy diet
,Iodine,"Iodine is important for your baby’s brain. If you use salt at home, make sure it’s iodized salt (salt with added iodine). Prenatal supplements may not have iodine — ask your doctor whether you need an iodine supplement",,"Iodine is important for your baby’s brain. If you use salt at home, make sure it’s iodized salt (salt with added iodine). Prenatal supplements may not have iodine — ask your doctor whether you need an iodine supplement",-5,Health Promoting
,Iodized salt,"Iodine is important for your baby’s brain. If you use salt at home, make sure it’s iodized salt (salt with added iodine). Prenatal supplements may not have iodine — ask your doctor whether you need an iodine supplement",,"Iodine is important for your baby’s brain. If you use salt at home, make sure it’s iodized salt (salt with added iodine). Prenatal supplements may not have iodine — ask your doctor whether you need an iodine supplement",-5,Health Promoting
,Choline,"Choline is also important for your baby’s brain. Choose foods with choline — like low-fat and fat-free dairy, eggs, lean meats, seafood, beans, and lentils. It’s also important to note that many prenatal supplements don’t have choline. If you think you might not be getting enough choline, talk to your doctor",,"Choline is also important for your baby’s brain. Choose foods with choline — like low-fat and fat-free dairy, eggs, lean meats, seafood, beans, and lentils. It’s also important to note that many prenatal supplements don’t have choline. If you think you might not be getting enough choline, talk to your doctor",-5,Health Promoting
,Sushi,,,These foods may have bacteria in them that can hurt your baby.,5,High
,Raw fish,,,These foods may have bacteria in them that can hurt your baby.,5,High
,Raw Oysters,,,These foods may have bacteria in them that can hurt your baby.,5,High
,Unpasteurised milk,,,These foods may have bacteria in them that can hurt your baby.,5,High
,Unpasteurized juice,,,These foods may have bacteria in them that can hurt your baby.,5,High
,Unpasteurized cheese,,,These foods may have bacteria in them that can hurt your baby.,5,High
,Deli Meat,,,These foods may have bacteria in them that can hurt your baby.,5,High
,Raw sprouts,,,Avoid raw as these foods may have bacteria in them that can hurt your baby.,4,High
,Alfalfa,,,Avoid raw as these foods may have bacteria in them that can hurt your baby.,4,High
,Clover,,,Avoid raw as these foods may have bacteria in them that can hurt your baby.,4,High
,Radish,,,Avoid raw as these foods may have bacteria in them that can hurt your baby.,4,High
,Mung Bean,,,Avoid raw as these foods may have bacteria in them that can hurt your baby.,4,High
,Alcohol,,,"No amount of alcohol is safe during pregnancy or while trying to get pregnant. All types of alcohol can be harmful for your baby, including wine and beer. ",5,High
,Shark,,,These fish can contain high levels of mercury which may be harmful for your child.,5,High
,Swordfish,,,These fish can contain high levels of mercury which may be harmful for your child.,5,High
,Tilefish,,,These fish can contain high levels of mercury which may be harmful for your child.,5,High
,King Mackerel,,,These fish can contain high levels of mercury which may be harmful for your child.,5,High
,Carbonated water,,,Safe for consumption,0,Neutral
