,rawData,additive,description
0,"Acacia(gum arabic)- EMUL/STAB, REG, Used as thickener, emulsifier, or stabilizer at=20% of alcoholic beverages-172.780, GRAS/FS, See Reg Part 135, Frozen Desserts; Part 169, Food Dressings and Flavorings; Part 169.179, Vanilla Pwd-184.1330",Acacia(gum arabic),"EMUL/STAB, REG, Used as thickener, emulsifier, or stabilizer at=20% of alcoholic beverages-172.780, GRAS/FS, See Reg Part 135, Frozen Desserts; Part 169, Food Dressings and Flavorings; Part 169.179, Vanilla Pwd-184.1330"
1,"Acesulfame potassium- NNS, REG, See Regulation -172.800",Acesulfame potassium,"NNS, REG, See Regulation -172.800"
2,"Acetic acid- B&N/FEED, GRAS/FS, Part 133, Cheese; Part 582.1005, In animal feed practices; 184.1005, 172.814",Acetic acid,"B&N/FEED, GRAS/FS, Part 133, Cheese; Part 582.1005, In animal feed practices; 184.1005, 172.814"
3,"Acetic anhydride- MISC, REG, In modifying food starch -172.892",Acetic anhydride,"MISC, REG, In modifying food starch -172.892"
4,"Acetone- SOLV, REG, 30 ppm - As residual solvent in spice oleoresins 173.210",Acetone,"SOLV, REG, 30 ppm - As residual solvent in spice oleoresins 173.210"
5,"Acetone peroxides- BL, REG/FS, GMP, Part 137, Cereal Flours -172.802",Acetone peroxides,"BL, REG/FS, GMP, Part 137, Cereal Flours -172.802"
6,"Acetyl-(p-nitrophenyl)-sulfanilamide- FEED, REG, See: Sulfanitran",Acetyl-(p-nitrophenyl)-sulfanilamide,"FEED, REG, See: Sulfanitran"
7,"N-Acetyl-L-methionine(free, hydrated, or anhydrous, or sodium or potassium salts) - NUTR, REG, In foods, except infant foods and foods containing added nitrites/nitrates -172.372","N-Acetyl-L-methionine(free, hydrated, or anhydrous, or sodium or potassium salts)","NUTR, REG, In foods, except infant foods and foods containing added nitrites/nitrates -172.372"
8,"Acetylated monoglycerides- EMUL, REG, GMP, Used in food, food processing, food pkg or food stg equipment -172.828",Acetylated monoglycerides,"EMUL, REG, GMP, Used in food, food processing, food pkg or food stg equipment -172.828"
9,"Acidified sodium chlorite solutions- REG, Microbial control agent in water for processing poultry, raw agricultural commodities, processed fruits, processed root, tuber, bulb, legume, fruiting (i.e., eggplant, groundcherry, pepino, pepper, tomatillo, and tomato), curcurbit and leafy vegetables, red meat, red meat parts, organs, processed, comminuted or formed meat food products, and seafood. See 173.325 for specifications and limitations.",Acidified sodium chlorite solutions,"REG, Microbial control agent in water for processing poultry, raw agricultural commodities, processed fruits, processed root, tuber, bulb, legume, fruiting (i.e., eggplant, groundcherry, pepino, pepper, tomatillo, and tomato), curcurbit and leafy vegetables, red meat, red meat parts, organs, processed, comminuted or formed meat food products, and seafood. See 173.325 for specifications and limitations."
